workflow_id,label,timing,owner,objective,activities,evidence,automation
WF-01,Onboarding postventa,Compra validada -> 24h,Persona 1,Convertir inscrito en estudiante activo sin friccion,ACT-002|ACT-003|ACT-016|ACT-010,Acceso activo Classroom grupo creado y registro actualizado,Agente #2 + Agente #7
WF-02,Preparacion 72h,72h antes de clase,Persona 3,Confirmar que la sesion puede ejecutarse sin improvisacion,ACT-004|ACT-009|ACT-011|ACT-012,Zoom instructor embajador recursos y recordatorio listos,Agente #3 + Agente #5 + Agente #9
WF-03,Ejecucion de sesion,Dia de clase,Persona 6,Asegurar asistencia soporte y captura de evidencia operativa,ACT-001|ACT-009|ACT-010,Recordatorio enviado asistencia revisada incidencias registradas,Agente #1 + Agente #5
WF-04,Contenido post sesion,0-48h post clase,Persona 4,Pasar grabacion y recursos a plataforma con version correcta,ACT-005|ACT-006|ACT-007|ACT-008,Drive Vimeo plataforma y piezas publicables registradas,Agente #4 + Agente #10
WF-05,Calidad y cierre academico,Semanal / cierre de modulo,Persona 7,Validar evidencias notas rubricas y recuperacion antes de certificar,ACT-011|ACT-012|ACT-018|ACT-019,Reporte embajador gradebook bloqueo o aprobacion de certificado,Agente #8 + Agente #9
WF-06,Difusion y comunidad,72h / 24h antes de evento,Persona 8,Activar grupos correctos sin mezclar soporte comunidad y ventas,ACT-013|ACT-014|ACT-015|ACT-017,Grupo copy CTA fuente y resultado registrados,Agente #7 + Agente #10
WF-07,Lanzamiento de campana,7 dias antes -> diario,Persona 12,Pasar de oferta academica a campana medible con feedback comercial,ACT-021|ACT-022|ACT-028|ACT-029|ACT-048,Brief piezas landing campana activa CPL lead quality conversaciones GHL y objeciones,Agente #12 + Agente #16
WF-08,Evento / Summit,Planificacion -> post-evento,Persona 14,Coordinar agenda sponsors ponentes piezas inscritos y seguimiento,ACT-023|ACT-024|ACT-025|ACT-027,Tablero evento piezas publicadas inscritos por fuente y follow-up,Agente #13 + Agente #10
WF-09,Producto y skill verification,Quincenal,Persona 20,Asegurar que AECODE mida habilidades verificables no solo asistencia,ACT-031|ACT-018|ACT-019|ACT-033,Ruta skill evidencia rubrica feedback y certificado,Agente #17 + Agente #19
WF-10,Control administrativo,Diario / cierre,Persona 21,Evitar que pagos documentos o estados administrativos bloqueen experiencia,ACT-032|ACT-002|ACT-018|ACT-019,Estado administrativo pago conciliado y certificado habilitado,Agente #18
WF-11,Product engineering,Discovery -> release,Persona 23,Convertir necesidad de producto en arquitectura backend frontend infra IA y deploy trazable,ACT-034|ACT-035|ACT-036|ACT-037|ACT-038|ACT-040|ACT-041|ACT-042|ACT-043,ADR API contract schema UI flow deploy logs y checklist seguridad,Agente #20
WF-12,Activos BIM academicos,Planificacion de curso -> clase,Persona 24,Convertir modelos planos plantillas familias scripts PPTs y Miros en recursos reutilizables,ACT-044|ACT-045|ACT-046|ACT-047,Ficha de asset BIM con curso modulo version uso academico y estado,Agente #21
