id,name,owner,objective,trigger,input_payload,validations,idempotency,tools,permissions,output,logs,retries,fallback,human_approval,privacy_risk,status
AF-001,Soporte y accesos,Patrick,Reducir friccion postventa detectando consultas alumnos bloqueados y tickets sin SLA,Nuevo mensaje nuevo inscrito o alumno sin acceso,"student_ref|program_id|channel|message_text|payment_status|current_access_state","Pago validado|Programa existe|No duplicado|Canal permitido",student_ref+program_id+issue_category+fecha,"Panel AECODE|Admin Morado|Sheet inscritos|WhatsApp Business API futura","Lectura de registros y escritura de ticket sin respuesta externa automatica","Ticket categorizado con SLA respuesta sugerida owner backup y evidencia","agent_run_id|ticket_key|decision|confidence|owner|before_state|after_state","2 reintentos","Patrick resuelve manualmente","Obligatoria para mensajes externos cambios masivos o pago observado",Critico,Piloto
AF-002,Registro de inscritos,Ivana,Mantener registro unico de estudiantes cohortes fuentes comunidad y estado administrativo,Nueva venta formulario o carga de Sheet,"lead_id|student_ref|course_id|cohort_id|source_channel|payment_status|advisor","Correo valido|Telefono normalizado|No duplicado|Curso activo|Fuente declarada",student_ref+course_id+cohort_id,"Google Sheets|GHL|Panel AECODE|Validador schema","Lectura/escritura en base maestra sin borrar sin revision","Registro creado o actualizado con observaciones fuente y owner","record_id|duplicate_check|changed_fields|validation_errors|approved_by","3 reintentos","Ivana valida manualmente","Obligatoria para merges eliminaciones o cambios de pago",Critico,Diseno
AF-003,Zoom y sesiones live,Carolina,Evitar clases improvisadas con Zoom instructor recursos embajador recordatorio y grabacion listos,Clase dentro de ventana 72h 48h 24h,"program_id|session_id|date_time|instructor|host_account|resource_links","Cuenta Zoom disponible|Horario sin conflicto|Instructor confirmado|Grabacion activada|Grupo WSP existe",session_id+date_time+host_account,"Zoom|Google Calendar|Notion Training|Drive|Sheet calendario","Crear reuniones y checklist; reprogramar requiere aprobacion","Checklist de sesion con semaforo y pendientes","session_id|zoom_id|conflicts|reminders|recording_state|pending_owner","2 intentos","Carolina o Daniella define host alternativo","Obligatoria para reprogramar docente o comunicado oficial",Alto,Piloto
AF-004,Drive a Vimeo a plataforma,Patrick,Publicar grabaciones correctas en menos de 48h con evidencia y notificacion,Grabacion nueva o cierre de sesion,"session_id|drive_file_id|course_id|module_id|cohort_id|edit_required","Archivo correcto|Audio video legible|Modulo existe|Permiso Drive|No publicado previamente",session_id+drive_file_id+module_id,"Google Drive|Vimeo|Panel AECODE|Sheet videos","Lectura Drive y escritura estado; publicar final con confirmacion","Video con estado recibido editado subido publicado observado o notificado","file_id|vimeo_ref|platform_ref|qa_result|publish_state","2 reintentos","Patrick publica manualmente o solicita nueva grabacion","Obligatoria para borrar reemplazar o publicar material sensible",Alto,Diseno
AF-005,Certificados,Patrick,Separar participacion aprobacion Autodesk y observados sin errores de emision,Cohorte finalizada lista aprobados o reclamo,"student_ref|course_id|certificate_type|attendance|evidence_state|rubric_state","Nombre normalizado|Tipo valido|Regla academica cumplida|No duplicado",student_ref+course_id+certificate_type+version,"Sheet certificados|Plantillas PDF|Drive|Correo aprobado","Generar borradores y estado; envio externo con aprobacion","Certificado generado u observado con motivo","certificate_id|rule_check|template_version|approved_by|sent_state","1 reintento","Patrick/Yary validan manualmente","Obligatoria para envio cambio de criterio o certificado oficial",Critico,Diseno
AF-006,Recordatorios WhatsApp y GHL,Patrick,Asegurar recordatorios sin duplicar ni spamear,Ventanas 72h 24h 2h o cambio de estado,"campaign_id|audience_segment|message_template|send_window|approval_state","Segmento permitido|Template aprobado|No enviado|Canal correcto",campaign_id+audience_segment+send_window,"GHL|WhatsApp Business|Sheets grupos|Calendario","Preparar y marcar pendientes; envio masivo requiere humano","Cola de mensajes aprobados pendientes enviados u observados","message_batch_id|segment|template_version|approver|delivery_state","2 reintentos","Reiner o Patrick ejecutan envio manual","Obligatoria para mensajes externos y cambios de copy masivo",Critico,Diseno
AF-007,GHL y calidad de leads,Anggie,Conectar marketing con venta real CPL objeciones audios llamadas brochures y conversion,Cierre diario comercial nueva campana o caida conversion,"lead_id|campaign_id|source_channel|conversation_stage|objection|close_state|advisor","Lead con fuente|Etapa consistente|Objecion clasificada|Sin conversacion sensible expuesta",lead_id+campaign_id+stage_date,"GHL|Meta Ads|WhatsApp metadata|Dashboard marketing","Lectura analitica e insights sin modificar presupuesto ni mensajes","Insights de calidad lead objeciones copy y acciones por asesor","campaign_id|lead_quality_score|objection_cluster|recommended_action|reviewer","2 reintentos","Jessica/Talia revisan muestra manual","Obligatoria para presupuesto oferta copy final o contacto directo",Critico,Piloto
AF-008,Sponsors y reuniones,Erika,Ordenar sponsors aliados contactos reuniones recordatorios grabaciones resumenes y follow-up con owner comercial claro,Nuevo sponsor aliado reunion cotizacion convenio o bloqueo administrativo,"company_id|contact_ref|meeting_id|stage|last_touch|requested_doc_state","Empresa clasificada|Contacto completo|Categoria o etapa definida|Proxima accion declarada|Convenio o cotizacion versionada",company_id+contact_ref+stage+meeting_date,"Notion|Google Calendar|Gmail draft|Read AI|WhatsApp metadata","Preparar borradores y resumenes; envio externo requiere aprobacion","Pipeline actualizado con etapa proxima accion resumen riesgo bloqueo y responsable","company_id|stage_change|meeting_summary_ref|pending_docs|next_action_owner","2 reintentos","Paola/Erika registran manualmente","Obligatoria para correos acuerdos convenios o compromisos",Alto,Diseno
AF-009,QA y release,Jordi,Evitar releases sin validacion E2E UX carga bugs y data,Nuevo release bugfix o carga de data,"release_id|feature_id|test_suite|bug_id|data_batch_id|severity","Checklist E2E|Ambiente correcto|Bug con evidencia|Retest obligatorio",release_id+feature_id+test_suite_version,"GitHub|Playwright futuro|Checklist QA|Sheet data","Crear reporte y recomendacion; merge deploy humano","Reporte QA listo observado bloqueado o requiere retest","release_id|test_result|evidence_ref|severity|retest_state|approved_by","1 reintento","Jordi valida manual y Anderson decide release","Obligatoria para publicar release cerrar bug critico o aceptar riesgo",Medio,Piloto
AF-010,Dashboard ejecutivo semanal,Alejandro Palpan,Dar vista global sin ruido decisiones riesgos metricas y bloqueos,Cierre diario o corte semanal viernes,"activities_snapshot|metrics_snapshot|blocked_items|decision_queue|agent_runs","Bloqueo con owner|Decision con contexto|Metrica con fuente|Sin datos sensibles publicos",report_period+report_type+audience,"Dashboard|Sheets|Notion|GitHub|Gmail draft futuro","Generar reporte y borrador; envio requiere autorizacion","Reporte AP con top 5 decisiones bloqueos riesgos avances y proximas acciones","report_id|period|included_sources|excluded_sensitive_data|generated_at","2 reintentos","Ivana prepara resumen manual con evidencias","Obligatoria para enviar por correo o compartir fuera del equipo",Alto,Diseno
AF-011,Chief of Staff digital Erika,Erika,Priorizar trabajo comercial y estrategico de Erika con Top 3 diario plan vs ejecutado pipeline reuniones bloqueos y recomendaciones de foco,Inicio de dia cierre de dia nueva reunion sponsor bloqueado o actividad critica sin avance,"date|planned_tasks|executed_tasks|meeting_snapshot|crm_pipeline|sponsor_board|blocked_items|time_spent","Cada tarea tiene impacto|Cada bloqueo tiene owner|Cada reunion tiene proximo paso|Sin datos personales innecesarios",owner+date+report_type,"Dashboard|Notion|Sheets|Calendar|Gmail draft|CRM futuro","Genera resumenes y borradores sin envio ni cambios de agenda automaticos","Reporte diario con resultados Top 3 oportunidades riesgos fugas de tiempo bloqueos y siguientes acciones","report_id|date|included_sources|planned_vs_executed|decision_queue|blocked_items","2 reintentos","Erika registra manualmente Top 3 bloqueos y compromisos","Obligatoria para enviar reporte externo cambiar prioridades o contactar terceros",Alto,Diseno
