link_id,category,domain,asset_label,owner,agent,related_area,privacy,status,public_note,next_action
LNK-001,Web,unsaac.edu.pe,Landing externa de olimpiadas BIM,Persona 8,Agente #10,Difusion,Publico,Inventariado,Pagina publica de evento o alianza,Crear source_channel y campana asociada
LNK-002,Google Sheet,docs.google.com,Status general area academica,Persona 2,Agente #7,Datos,Critico,Listo para conectar,Registro de status accesos videos programas y soporte,Conectar via backend seguro con permisos por rol
LNK-003,Miro,miro.com,Miro programa 1,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Tablero colaborativo vinculado a programa academico,Asignar program_id owner y permisos
LNK-004,Miro,miro.com,Miro programa 2,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Tablero Miro asociado a curso o especializacion,Renombrar con programa cohorte y fecha
LNK-005,Miro,miro.com,Miro programa 3,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board compartido desde chat para actividad academica,Auditar permisos y vincular a matriz de programa
LNK-006,Google Sheet,docs.google.com,Sheet operativo programa,Persona 2,Agente #7,Datos,Critico,Requiere revision,Hoja de seguimiento o registro compartida,Definir si es fuente maestra o secundaria
LNK-007,Miro,miro.com,Miro programa 4,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Recurso de aprendizaje en Miro,Marcar estado activo historico o archivado
LNK-008,Drive,drive.google.com,Carpeta Drive de recursos,Persona 4,Agente #4,Contenido,Critico,Inventariado,Carpeta de recursos videos o evidencias,Crear estructura por programa modulo sesion y estado
LNK-009,Miro,miro.com,Miro programa 5,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board de trabajo academico,Cruzar con matriz de accesos
LNK-010,Google Sheet,docs.google.com,Excel de registrados,Persona 2,Agente #7,Datos,Critico,Requiere revision,Registro de participantes o interesados,Importar con IDs anonimizados y deduplicar
LNK-011,Google Sheet,docs.google.com,Registro AECODE Training 2026,Persona 2,Agente #7,Datos,Critico,Listo para conectar,Listado de registros para AECODE Training 2026,Normalizar campos canonicos y fuente de adquisicion
LNK-012,Google Sheet,docs.google.com,Sheet operativo sin clasificar 1,Persona 2,Agente #7,Datos,Critico,Requiere revision,Hoja compartida sin descripcion explicita,Abrir clasificar tipo de dato y mapear a entidad
LNK-013,Google Sheet,docs.google.com,Sheet operativo sin clasificar 2,Persona 2,Agente #7,Datos,Critico,Requiere revision,Hoja compartida sin contexto suficiente,Asignar owner y tipo de informacion
LNK-014,Notion,notion.so,Notion de actividad operativa,Persona 1,Agente #7,Datos,Critico,Requiere revision,Pagina Notion de seguimiento operativo,Convertir en backlog anonimo por activity_id
LNK-015,Miro,miro.com,Miro programa 6,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board de trabajo academico con share link,Auditar acceso y vincular a programa
LNK-016,Miro,miro.com,Miro programa 7,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board compartido en conversacion operativa,Agregar status y fecha de ultima revision
LNK-017,Miro,miro.com,Miro programa 8,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board Miro con uso academico,Asignar codigo LNK PRG y cohorte
LNK-018,YouTube,youtube.com,Playlist de videos,Persona 5,Agente #10,Difusion,Publico,Inventariado,Playlist relacionada a contenidos publicables,Vincular playlist a programa CTA y metricas
LNK-019,Miro,miro.com,Miro programa 9,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board enviado como enlace de programa,Registrar en matriz de activos del programa
LNK-020,Miro,miro.com,Miro programa 10,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board Miro con share link activo,Cerrar o archivar segun estado del curso
LNK-021,Miro,miro.com,Miro programa 11,Persona 3,Agente #2,Plataforma,Interno,Inventariado,Board Miro de actividad academica,Asignar owner operativo y fecha de revision
