id,title,area,owner,backup,playbook_id,priority,status,due,source,evidence,next_best_action,escalation,agent,system,decision_needed
DAY-001,Accesos postventa y alumnos bloqueados,Operacion academica,Patrick,Carolina,PB-01,Critica,Riesgo,Hoy 10:30,Admin Morado + Sheet academico,"Log de acceso, ticket cerrado y registro unico actualizado","Revisar alumnos pagados sin acceso, cerrar duplicados y escalar casos sin correo valido","Alejandro solo recibe casos pagados >24h sin solucion o error de plataforma",Agente #1,Panel AECODE / Admin Morado,Definir backup formal si Patrick supera SLA de accesos
DAY-002,Clase live preparada 72h antes,Sesiones,Carolina,Daniella,PB-02,Critica,En curso,Hoy 12:00,Calendario academico + Notion Training,"Zoom validado, instructor confirmado, recursos versionados y embajador activo","Confirmar Zoom, grabacion, PPT/Miro y mensaje de recordatorio del siguiente bloque de clases","Escalar a Daniella si falta docente o recurso critico 24h antes",Agente #3,Zoom / Drive / Notion,Ninguna si el link y docente quedan confirmados
DAY-003,Drive -> Vimeo -> plataforma,Contenido,Patrick,Yary,PB-03,Alta,Automatizable,Hoy 16:00,Drive grabaciones + plataforma AECODE,"Video publicado, modulo correcto, miniatura/descripcion y notificacion al grupo","Ordenar cola por programas activos, publicar vencidos y dejar registro por sesion","Escalar a TeamDev si el panel no permite publicar o asociar modulo",Agente #4,Drive / Vimeo / Plataforma,Priorizar si hay mas de 8 grabaciones pendientes
DAY-004,Certificados y evidencias incompletas,Certificados,Patrick,Carolina,PB-04,Alta,Riesgo,Hoy 17:00,Sheet academico + rubricas,"Lista aprobados, certificados generados, envio registrado y observados separados","Separar participacion vs aprobacion Autodesk y cerrar observaciones antes de enviar","Escalar a Alejandro solo si hay reclamo publico o criterio academico ambiguo",Agente #8,Sheets / Certificados / Plataforma,Confirmar regla para asistencia sin evidencia completa
DAY-005,GHL quality de lead y feedback de cierre,Marketing,Anggie,Jessica,PB-05,Critica,Requiere decision,Hoy 18:00,GHL + Ads + WhatsApp Business,"Reporte de CPL, conversaciones revisadas, objeciones, copy ajustado y accion comercial","Cruzar venta real con GHL: tiempos de respuesta, objeciones, curso, fuente y cierre","Alejandro decide cambios de oferta presupuesto o prioridad de campana",Agente #16,GHL / Meta Ads / WhatsApp Business,Elegir si se optimiza por CPL cierre o calidad de lead
DAY-006,Leads calientes audios y cierre,Comercial,Talia,Yadira,PB-05,Alta,En curso,Hoy 19:00,GHL + WhatsApp Business,"Leads llamados, audios enviados, respuestas, objeciones y proximos pasos por asesor","Llamar leads calientes, enviar audios y pasar objeciones ganadoras a Jessica Anggie Reiner","Escalar si brochures precio u oferta bloquean cierre repetidamente",Agente #16,WhatsApp Business / GHL,Confirmar si Yadira toma llamadas en siguiente bloque
DAY-007,Sponsors aliados y reuniones corporativas,Alianzas,Paola,Daniella,PB-06,Critica,En curso,Hoy 15:00,Notion empresas + pipeline Summit,"Empresa clasificada, contacto completo, reunion agendada, resumen y siguiente correo","Ordenar contactos por sponsor aliado empresa pendiente y preparar recordatorios de reunion","Escalar a Erika/Daniella si sponsor caliente no tiene propuesta o follow-up",Agente #22,Notion / Calendar / WhatsApp / LinkedIn,Definir paquete o mensaje para sponsors sin respuesta
DAY-008,Onboarding sponsor y experiencia corporativa,Eventos,Daniella,Paola,PB-06,Alta,Riesgo,Hoy 17:30,Pipeline sponsors + grupos oficiales,"Correo bienvenida, grupo WSP, perfil de grupo, formulario y compromisos registrados","Separar sponsors confirmados pendientes de convenio y pendientes de activacion VIP","Escalar a Alejandro si falta decision comercial o nivel de paquete",Agente #36,Gmail / WhatsApp / Notion,Confirmar destinatario de correo de bienvenida
DAY-009,Producto AECODE 3.0 y automatizacion marketing,Producto,Fabrizio,Anderson,PB-07,Critica,Requiere decision,Hoy 18:30,Roadmap producto + AgentFlow,"Spec de ruta/skill, decision de MVP, backlog priorizado y metrica vinculada","Definir que flujo mueve skill verified: onboarding evidencia rubrica certificado o dashboard B2B","Alejandro decide tradeoff si compite con Summit plataforma o growth",Agente #29,GitHub / Notion / AgentFlow,Elegir primer loop producto de la semana
DAY-010,Release QA y data,QA,Jordi,Anderson,PB-07,Alta,Bloqueado,Hoy 20:00,Backlog dev + pruebas E2E,"Casos E2E, captura de bug, retest y decision de release","Registrar bugs con evidencia y bloquear release si no hay retest documentado","Escalar a Anderson si el bug compromete acceso pago certificado o datos",Agente #24,GitHub / QA checklist / Plataforma,Definir severidad minima para no publicar release
DAY-011,Arquitectura full-stack e integraciones web,Tecnologia,Anderson,Marlon,PB-07,Critica,En curso,Hoy 21:00,Repos + specs + plataforma,"ADR, PR, build, deploy, pruebas y riesgos tecnicos","Separar deuda critica de producto automatizacion y web para no mezclar urgencias","Alejandro decide prioridad si una persona sostiene arquitectura front back e infra",Agente #20,GitHub / AWS / Plataforma / n8n,Confirmar que entra al sprint y que queda como deuda
