entity,key,purpose,minimum_fields,relations,state_field,source_field,updated_field,security
Person,person_id,Identidad operativa del equipo nucleo o red extendida,"person_id|name|role_id|squad|seat_type|load_signal|status","role_id|activity_id|playbook_id|agent_id",status,source_id,updated_at,Interno
Role,role_id,Responsabilidad estable mision backup KPI y escalamiento,"role_id|role_name|mission|daily_check|backup_person_id|escalation_rule","person_id|activity_id|domain_id",role_status,source_id,updated_at,Interno
Activity,activity_id,Tarea con owner SLA prioridad y evidencia,"activity_id|area|title|owner_person_id|backup_person_id|priority|status|due_at|evidence_id","person_id|agent_id|playbook_id|source_id",status,source_id,updated_at,Interno
Playbook,playbook_id,Flujo repetible por trigger etapas handoffs SLA y criterio de terminado,"playbook_id|title|domain|trigger|goal|lead_person_id|kpi|status","step_id|agent_id|activity_id|escalation_id",status,source_id,updated_at,Interno
PlaybookStep,step_id,Paso ejecutable con entrada validacion salida owner y evidencia,"step_id|playbook_id|label|owner_person_id|input|validation|output|sla|evidence_id|status","playbook_id|person_id|agent_id|system_id|activity_id",status,source_id,updated_at,Interno
Agent,agent_id,Contrato auditable de agente con trigger herramientas permisos logs y aprobacion humana,"agent_id|name|objective|trigger|owner_person_id|permissions|human_approval|privacy_risk|status","activity_id|playbook_id|status_log_id|system_id",status,source_id,updated_at,Critico
System,system_id,Sistema conectado o fuente operativa,"system_id|name|category|owner_person_id|privacy_level|connection_state","activity_id|agent_id|source_id",connection_state,source_id,updated_at,Critico
Evidence,evidence_id,Prueba de cierre link seguro captura log acta reporte certificado o video,"evidence_id|type|secure_reference|owner_person_id|related_entity|validation_state","activity_id|step_id|status_log_id",validation_state,source_id,updated_at,Critico
Escalation,escalation_id,Bloqueo decision requerida dias sin resolver y responsable de desbloqueo,"escalation_id|activity_id|severity|reason|requested_decision|owner_person_id|deadline|status","activity_id|person_id|playbook_id|status_log_id",status,source_id,updated_at,Interno
Source,source_id,Trazabilidad de origen Obsidian Notion Sheet Drive chat PDF repo o instruccion directa,"source_id|label|source_type|privacy|secure_reference|last_checked_at","activity_id|person_id|agent_id|evidence_id",privacy,source_id,updated_at,Critico
StatusLog,status_log_id,Bitacora auditable de cambios de estado agente humano errores y retry,"status_log_id|entity_type|entity_id|previous_state|new_state|actor_type|actor_id|reason","activity_id|agent_id|person_id|evidence_id",new_state,source_id,created_at,Critico
