playbook_id,step_id,step_order,label,timing,owner,status,systems,evidence,automation,risk,linked_activities
PB-01,PB01-S1,1,Validar inscrito,0-4h,Persona 2,Listo,"Sheet inscritos | GHL | Panel AECODE","Registro actualizado con user_id, course_id, cohort_id y fuente",Agente #7 detecta duplicados y campos vacios,Registro duplicado o correo incorrecto bloquea accesos y certificados,ACT-003 | ACT-032
PB-01,PB01-S2,2,Activar acceso,0-24h,Persona 1,En curso,"Admin Morado | Panel AECODE | Plataforma",Estado acceso_activo y captura o log interno,Agente #2 genera cola de altas y alertas,Acceso tardio genera reclamos tempranos y baja activacion,ACT-001 | ACT-002
PB-01,PB01-S3,3,Crear grupo y aula,24-72h antes,Persona 6,En curso,"WhatsApp | Classroom | Sheet grupos",Grupo/aula creado con responsable y enlace seguro interno,Agente #6 compara inscritos vs miembros del grupo,Alumno fuera del grupo pierde recordatorios soporte y comunidad,ACT-010 | ACT-016
PB-01,PB01-S4,4,Bienvenida y recordatorio,24h antes,Persona 6,Automatizable,"WhatsApp | GHL | Sheet seguimiento",Mensaje enviado canal hora y responsable registrados,Agente #5 agenda recordatorios y marca pendientes,Sin recordatorio aumenta inasistencia y consultas repetidas,ACT-009 | ACT-013
PB-01,PB01-S5,5,Soporte primer acceso,Dia de clase,Persona 1,Riesgo,"WhatsApp | Panel AECODE | Registro soporte",Ticket con categoria SLA respuesta y cierre,Agente #1 enrutador de soporte por categoria,Sin ticket se pierde trazabilidad y el problema se repite,ACT-001
PB-02,PB02-S1,1,Configurar Zoom,72h antes,Persona 3,En curso,"Zoom | Sheet calendario | Notion programas",Zoom creado con fecha cuenta host y grabacion,Agente #3 detecta conflictos de cuenta y links faltantes,Link incorrecto o cuenta ocupada bloquea la clase,ACT-004
PB-02,PB02-S2,2,Confirmar instructor y recursos,48h antes,Persona 3,Automatizable,"Drive | Miro | Notion | Sheet programas",Checklist de recursos con version y link seguro,Agente #21 cataloga recursos BIM y faltantes,Material tardio afecta experiencia y autoridad docente,ACT-011 | ACT-044 | ACT-045 | ACT-046 | ACT-047
PB-02,PB02-S3,3,Activar embajador,24h antes,Persona 7,En curso,"WhatsApp | Drive | Sheet embajadores",Embajador asignado induccion enviada y funciones aceptadas,Agente #9 alerta embajador faltante o sin induccion,Sin embajador la sesion depende de coordinacion manual,ACT-011 | ACT-012
PB-02,PB02-S4,4,Recordatorio y ejecucion,Dia de clase,Persona 6,Riesgo,"WhatsApp | Zoom | Registro soporte",Recordatorio enviado asistencia incidencias y grabacion activa,Agente #5 controla recordatorios y asistencia esperada,Si no se activa grabacion se rompe contenido post sesion,ACT-001 | ACT-009
PB-02,PB02-S5,5,Cierre y acta,0-12h post clase,Persona 28,Automatizable,"Notion | Drive | Sheet programas",Acta pendientes asistencia y bloqueos,Agente #35 genera semaforo de sesion y pendientes,Sin acta no hay mejora ni soporte trazable,ACT-095 | ACT-096
PB-03,PB03-S1,1,Recibir grabacion,0-6h,Persona 4,En curso,"Zoom | Drive | Sheet videos",Drive con nomenclatura curso-modulo-fecha,Agente #4 detecta grabaciones sin curso o destino,Archivo sin nomenclatura produce errores de publicacion,ACT-005
PB-03,PB03-S2,2,QA y edicion,6-24h,Persona 4,Automatizable,"Editor video | Drive | YouTube",Version editada y aprobacion de publicacion,Agente #15 propone cortes y clips reutilizables,Publicar sin QA puede exponer errores o datos,ACT-006 | ACT-007 | ACT-008
PB-03,PB03-S3,3,Subir a Vimeo,24h,Persona 4,En curso,"Vimeo | Drive | Panel AECODE",URL segura y estado publicado,Agente #4 marca estado Drive -> Vimeo,Privacidad incorrecta rompe plataforma,ACT-005
PB-03,PB03-S4,4,Publicar en plataforma,24-48h,Persona 1,Riesgo,"Panel AECODE | Vimeo | Plataforma",Modulo con video publicado y prueba de acceso,Agente #4 cierra pipeline y notifica faltantes,Video no publicado aumenta consultas y baja valor percibido,ACT-005
PB-03,PB03-S5,5,Notificar y reciclar,48h,Persona 6,Automatizable,"WhatsApp | YouTube | Drive | GHL",Mensaje enviado pieza o clip en cola,Agente #10 registra canal copy CTA y resultado,Contenido publicado pero no comunicado genera baja visualizacion,ACT-007 | ACT-008 | ACT-013
PB-04,PB04-S1,1,Abrir reto/evidencia,Inicio modulo,Persona 20,En curso,"Plataforma | Classroom | Notion",Reto publicado con rubrica visible,Agente #17 revisa evidencia esperada por modulo,Sin evidencia AECODE queda como academia de asistencia,ACT-031 | ACT-033
PB-04,PB04-S2,2,Recolectar y clasificar,Durante modulo,Persona 7,Automatizable,"Classroom | Sheet academico | Plataforma",Estado de evidencia por estudiante,Agente #17 marca entregas incompletas y alumnos en riesgo,Evidencias dispersas impiden certificar con criterio,ACT-018 | ACT-019
PB-04,PB04-S3,3,Validar rubrica,Cierre modulo,Persona 7,En curso,"Sheet academico | Plataforma | Drive",Rubrica feedback y estado de aprobacion,Agente #24 detecta inconsistencias de data y evidencia faltante,Certificar sin rubrica debilita calidad y confianza,ACT-056 | ACT-061
PB-04,PB04-S4,4,Emitir certificado,Cierre cohorte,Persona 1,Riesgo,"Certificados | Drive | Correo | Sheet inscritos",Certificado estado de envio y registro de alumno,Agente #8 valida datos tipo de certificado y envio,Certificado con datos erroneos genera reproceso,ACT-018 | ACT-019
PB-04,PB04-S5,5,Actualizar dashboard,Semanal,Persona 22,Automatizable,"BI | Sheet | Dashboard",Dashboard actualizado con corte semanal,Agente #19 genera alertas de cohortes y skill verification,Sin metrica se optimizan actividades y no resultados,ACT-003 | ACT-031 | ACT-033
PB-05,PB05-S1,1,Brief y oferta,7 dias antes,Persona 12,En curso,"Notion | GHL | Drive",Brief copy base y criterio de lead ideal,Agente #12 revisa checklist antes de pauta,Campana sin oferta clara atrae leads de baja calidad,ACT-021 | ACT-108
PB-05,PB05-S2,2,Piezas y pauta,5 dias antes,Persona 13,Automatizable,"Meta Ads | Drive | Web | YouTube",Piezas aprobadas brochure completo y campana activa,Agente #14 valida assets y cola web,Brochure incompleto o pieza tardia frena cierre,ACT-022 | ACT-029 | ACT-109
PB-05,PB05-S3,3,Revisar GHL,Diario,Persona 18,En curso,"GHL | WhatsApp Business | Sheet comercial",Reporte GHL con objeciones y recomendaciones,Agente #16 cruza GHL con conversaciones y conversion,Marketing optimiza por CPL y no por ventas reales,ACT-048 | ACT-107 | ACT-108
PB-05,PB05-S4,4,Llamar leads calientes,Diario,Persona 29,Riesgo,"WhatsApp Business | GHL | Sheet ventas",Llamada/audio etapa objecion y proxima accion,Agente #16 prioriza leads por temperatura,Lead caliente sin llamada pierde ventana de compra,ACT-105 | ACT-106 | ACT-107
PB-05,PB05-S5,5,Retroalimentar campana,Semanal,Persona 18,Automatizable,"GHL | Meta Ads | Drive | Dashboard",Lista de cambios antes/despues y efecto esperado,Agente #16 resume objeciones y cambios recomendados,Sin feedback ventas y marketing trabajan separados,ACT-108 | ACT-111 | ACT-112
PB-06,PB06-S1,1,Mapear contactos,Semanal,Persona 25,En curso,"Notion | LinkedIn | Sheet pipeline",Contacto completo con etapa y proxima accion,Agente #22 detecta empresas incompletas,Contacto sin clasificacion no se convierte en reunion,ACT-049 | ACT-053
PB-06,PB06-S2,2,Gestionar reunion,Diario,Persona 25,Riesgo,"Calendar | Zoom/Meet | WhatsApp | Gmail",Grabacion transcripcion datos y resumen para correo,Agente #23 prepara reunion recordatorio y resumen,Reunion sin grabacion ni resumen pierde acuerdos,ACT-050 | ACT-052
PB-06,PB06-S3,3,Onboarding sponsor,Al confirmar,Persona 25,Automatizable,"Gmail | WhatsApp | Forms | Drive",Correo grupo formulario y contacto responsable,Agente #36 alerta sponsors sin bienvenida o formulario,Sponsor confirmado sin onboarding queda desatendido,ACT-054 | ACT-055
PB-06,PB06-S4,4,Difusion y ejecucion,72h -> evento,Persona 14,En curso,"Web | Meta Ads | WhatsApp | Zoom | Sheet inscritos",Landing piezas inscritos asistencia y grabacion,Agente #13 semaforiza agenda piezas inscritos y sponsors,Evento con inscritos sin fuente no permite aprender,ACT-023 | ACT-024 | ACT-025 | ACT-027
PB-06,PB06-S5,5,Follow-up post evento,0-72h post evento,Persona 14,Automatizable,"Gmail | GHL | Drive | Dashboard",Correo enviado estado actualizado clips o propuesta,Agente #36 consolida follow-up de sponsors y aliados,Sin follow-up el evento genera autoridad pero no pipeline,ACT-050 | ACT-107 | ACT-108
PB-07,PB07-S1,1,Definir problema y flujo,Discovery,Persona 16,En curso,"Obsidian | Figma/Miro | Notion",Flujo spec wireframe o prototipo validado,Agente #26 estructura brief flujo y handoff,Prototipo sin flujo completo genera retrabajo,ACT-062 | ACT-063 | ACT-064 | ACT-069
PB-07,PB07-S2,2,Arquitectura y backlog,Planning,Persona 23,Automatizable,"GitHub | Obsidian | Docs",ADR API contract schema y checklist de seguridad,Agente #20 audita arquitectura y seguridad,Sin contrato tecnico el release se rompe al integrar,ACT-034 | ACT-035 | ACT-036 | ACT-037 | ACT-038
PB-07,PB07-S3,3,Construir e integrar,Sprint,Persona 23,En curso,"GitHub | Next.js | API | n8n",PR build local datos mock o integracion funcional,Agente #29 controla bloqueos PRs y readiness,Integracion sin logs dificulta soporte y postventa,ACT-039 | ACT-040 | ACT-041 | ACT-042 | ACT-075 | ACT-076
PB-07,PB07-S4,4,Validar QA,Pre-release,Persona 26,Riesgo,"Playwright | Dashboard | Sheet QA | GitHub",Reporte QA bugs y retest documentado,Agente #24 exige retest y evidencia antes de cierre,Bug sin retest llega a usuarios y genera soporte,ACT-056 | ACT-057 | ACT-058 | ACT-059 | ACT-060 | ACT-061
PB-07,PB07-S5,5,Release y medicion,Produccion,Persona 27,Automatizable,"Deploy | n8n | Dashboard | Obsidian",Deploy changelog dashboard incidentes y leccion aprendida,Agente #30 monitorea workflows y Agente #32 incidentes,Release sin medicion no demuestra mejora ni escalabilidad,ACT-071 | ACT-072 | ACT-073 | ACT-080 | ACT-088
